source,target,value,values,generation
flying,multiple_bodies,1,0.05263157894736842,1
water,head_base,1,0.03125,1
water,head_legs,1,0.03125,1
water,head_only,1,0.03125,1
bug,head_only,1,0.08333333333333333,1
water,serpentine_body,1,0.03125,1
bug,head_arms,1,0.08333333333333333,1
flying,quadruped,1,0.05263157894736842,1
flying,bipedal_tailed,7,0.3684210526315789,2
fire,quadruped,5,0.5,2
water,bipedal_tailed,4,0.2222222222222222,2
bug,bipedal_tailed,4,0.4,2
water,bipedal_tailless,4,0.2222222222222222,2
flying,quadruped,4,0.21052631578947367,2
normal,quadruped,4,0.26666666666666666,2
normal,two_wings,3,0.2,2
grass,quadruped,3,0.3,2
fairy,bipedal_tailed,3,0.375,2
psychic,bipedal_tailed,3,0.3,2
electric,bipedal_tailed,3,0.375,2
flying,serpentine_body,2,0.10526315789473684,2
bug,quadruped,2,0.2,2
electric,bipedal_tailless,2,0.25,2
fairy,insectoid,2,0.25,2
electric,quadruped,2,0.25,2
fire,bipedal_tailed,2,0.2,2
water,with_fins,2,0.1111111111111111,2
water,serpentine_body,2,0.1111111111111111,2
water,two_wings,2,0.1111111111111111,2
ground,bipedal_tailed,2,0.2,2
ground,quadruped,2,0.2,2
psychic,bipedal_tailless,2,0.2,2
normal,with_fins,2,0.13333333333333333,2
water,quadruped,2,0.1111111111111111,2
grass,bipedal_tailless,2,0.2,2
grass,head_arms,1,0.1,2
grass,bipedal_tailed,1,0.1,2
flying,two_wings,1,0.05263157894736842,2
flying,several_limbs,1,0.05263157894736842,2
grass,head_only,1,0.1,2
flying,head_legs,1,0.05263157894736842,2
flying,head_base,1,0.05263157894736842,2
flying,head_arms,1,0.05263157894736842,2
fire,two_wings,1,0.1,2
flying,bipedal_tailless,1,0.05263157894736842,2
fairy,head_legs,1,0.125,2
grass,several_limbs,1,0.1,2
fairy,head_base,1,0.125,2
bug,bipedal_tailless,1,0.1,2
ground,head_arms,1,0.1,2
ground,head_legs,1,0.1,2
ground,insectoid,1,0.1,2
fairy,four_wings,1,0.125,2
ground,several_limbs,1,0.1,2
ground,with_fins,1,0.1,2
grass,head_base,1,0.1,2
fire,serpentine_body,1,0.1,2
normal,bipedal_tailless,1,0.06666666666666667,2
fire,bipedal_tailless,1,0.1,2
electric,two_wings,1,0.125,2
normal,serpentine_body,1,0.06666666666666667,2
normal,insectoid,1,0.06666666666666667,2
psychic,multiple_bodies,1,0.1,2
normal,head_only,1,0.06666666666666667,2
psychic,head_arms,1,0.1,2
psychic,head_only,1,0.1,2
psychic,insectoid,1,0.1,2
psychic,quadruped,1,0.1,2
normal,bipedal_tailed,1,0.06666666666666667,2
normal,head_legs,1,0.06666666666666667,2
bug,two_wings,1,0.1,2
water,four_wings,1,0.05555555555555555,2
water,head_legs,1,0.05555555555555555,2
bug,head_base,1,0.1,2
bug,four_wings,1,0.1,2
ground,bipedal_tailless,1,0.1,2
water,quadruped,10,0.35714285714285715,3
psychic,bipedal_tailed,9,0.45,3
water,bipedal_tailed,6,0.21428571428571427,3
bug,bipedal_tailed,5,0.35714285714285715,3
grass,bipedal_tailless,5,0.29411764705882354,3
ground,two_wings,5,0.38461538461538464,3
flying,bipedal_tailed,4,0.3333333333333333,3
dark,quadruped,4,0.4,3
grass,bipedal_tailed,4,0.23529411764705882,3
ground,quadruped,4,0.3076923076923077,3
rock,bipedal_tailed,4,0.3333333333333333,3
bug,quadruped,4,0.2857142857142857,3
water,two_wings,4,0.14285714285714285,3
grass,quadruped,4,0.23529411764705882,3
flying,quadruped,3,0.25,3
rock,bipedal_tailless,3,0.25,3
psychic,quadruped,3,0.15,3
ground,bipedal_tailless,3,0.23076923076923078,3
normal,two_wings,2,0.1111111111111111,3
normal,bipedal_tailed,2,0.1111111111111111,3
water,bipedal_tailless,2,0.07142857142857142,3
steel,head_legs,2,0.2222222222222222,3
dark,bipedal_tailless,2,0.2,3
normal,bipedal_tailless,2,0.1111111111111111,3
water,head_legs,2,0.07142857142857142,3
water,several_limbs,2,0.07142857142857142,3
psychic,bipedal_tailless,2,0.1,3
bug,bipedal_tailless,2,0.14285714285714285,3
flying,two_wings,2,0.16666666666666666,3
normal,insectoid,2,0.1111111111111111,3
dark,head_only,1,0.1,3
dark,insectoid,1,0.1,3
dark,two_wings,1,0.1,3
flying,four_wings,1,0.08333333333333333,3
normal,head_legs,1,0.05555555555555555,3
normal,head_base,1,0.05555555555555555,3
normal,head_arms,1,0.05555555555555555,3
flying,head_base,1,0.08333333333333333,3
flying,head_only,1,0.08333333333333333,3
grass,head_legs,1,0.058823529411764705,3
grass,insectoid,1,0.058823529411764705,3
grass,two_wings,1,0.058823529411764705,3
grass,with_fins,1,0.058823529411764705,3
ground,bipedal_tailed,1,0.07692307692307693,3
normal,four_wings,1,0.05555555555555555,3
steel,quadruped,1,0.1111111111111111,3
steel,two_wings,1,0.1111111111111111,3
water,four_wings,1,0.03571428571428571,3
bug,four_wings,1,0.07142857142857142,3
water,serpentine_body,1,0.03571428571428571,3
steel,four_wings,1,0.1111111111111111,3
psychic,head_legs,1,0.05,3
psychic,two_wings,1,0.05,3
normal,with_fins,1,0.05555555555555555,3
normal,quadruped,1,0.05555555555555555,3
bug,head_legs,1,0.07142857142857142,3
normal,several_limbs,1,0.05555555555555555,3
psychic,four_wings,1,0.05,3
normal,serpentine_body,1,0.05555555555555555,3
bug,head_arms,1,0.07142857142857142,3
steel,serpentine_body,1,0.1111111111111111,3
steel,head_only,1,0.1111111111111111,3
normal,head_only,1,0.05555555555555555,3
dark,bipedal_tailed,1,0.1,3
normal,multiple_bodies,1,0.05555555555555555,3
psychic,insectoid,1,0.05,3
psychic,serpentine_body,1,0.05,3
rock,four_wings,1,0.08333333333333333,3
rock,head_only,1,0.08333333333333333,3
rock,multiple_bodies,1,0.08333333333333333,3
rock,serpentine_body,1,0.08333333333333333,3
rock,with_fins,1,0.08333333333333333,3
steel,bipedal_tailed,1,0.1111111111111111,3
psychic,head_only,1,0.05,3
steel,bipedal_tailless,1,0.1111111111111111,3
flying,quadruped,4,0.2857142857142857,4
flying,two_wings,4,0.2857142857142857,4
water,bipedal_tailed,4,0.2857142857142857,4
bug,quadruped,3,0.3333333333333333,4
ghost,bipedal_tailed,3,0.375,4
normal,quadruped,3,0.17647058823529413,4
normal,bipedal_tailless,3,0.17647058823529413,4
psychic,bipedal_tailed,3,0.3333333333333333,4
ground,bipedal_tailless,3,0.3,4
grass,bipedal_tailless,3,0.2,4
ghost,quadruped,3,0.375,4
bug,bipedal_tailed,3,0.3333333333333333,4
grass,quadruped,3,0.2,4
normal,two_wings,2,0.11764705882352941,4
water,two_wings,2,0.14285714285714285,4
flying,bipedal_tailed,2,0.14285714285714285,4
psychic,head_only,2,0.2222222222222222,4
poison,bipedal_tailless,2,0.25,4
normal,head_only,2,0.11764705882352941,4
grass,two_wings,2,0.13333333333333333,4
normal,head_arms,2,0.11764705882352941,4
poison,quadruped,2,0.25,4
steel,bipedal_tailless,2,0.2,4
grass,bipedal_tailed,2,0.13333333333333333,4
water,bipedal_tailless,2,0.14285714285714285,4
steel,two_wings,2,0.2,4
water,several_limbs,2,0.14285714285714285,4
ground,bipedal_tailed,2,0.2,4
poison,with_fins,2,0.25,4
ground,with_fins,2,0.2,4
normal,bipedal_tailed,2,0.11764705882352941,4
bug,multiple_bodies,1,0.1111111111111111,4
grass,with_fins,1,0.06666666666666667,4
grass,serpentine_body,1,0.06666666666666667,4
grass,insectoid,1,0.06666666666666667,4
grass,head_legs,1,0.06666666666666667,4
grass,four_wings,1,0.06666666666666667,4
flying,head_arms,1,0.07142857142857142,4
flying,head_legs,1,0.07142857142857142,4
ground,head_legs,1,0.1,4
flying,multiple_bodies,1,0.07142857142857142,4
ground,head_base,1,0.1,4
normal,insectoid,1,0.058823529411764705,4
normal,serpentine_body,1,0.058823529411764705,4
normal,with_fins,1,0.058823529411764705,4
ghost,head_legs,1,0.125,4
ghost,head_only,1,0.125,4
poison,serpentine_body,1,0.125,4
flying,serpentine_body,1,0.07142857142857142,4
psychic,quadruped,1,0.1111111111111111,4
psychic,multiple_bodies,1,0.1111111111111111,4
psychic,two_wings,1,0.1111111111111111,4
psychic,head_arms,1,0.1111111111111111,4
steel,four_wings,1,0.1,4
steel,bipedal_tailed,1,0.1,4
poison,two_wings,1,0.125,4
steel,head_base,1,0.1,4
steel,head_only,1,0.1,4
steel,insectoid,1,0.1,4
steel,quadruped,1,0.1,4
bug,two_wings,1,0.1111111111111111,4
water,four_wings,1,0.07142857142857142,4
water,head_base,1,0.07142857142857142,4
water,head_only,1,0.07142857142857142,4
water,serpentine_body,1,0.07142857142857142,4
bug,serpentine_body,1,0.1111111111111111,4
ground,head_arms,1,0.1,4
grass,bipedal_tailed,10,0.5,5
dark,quadruped,5,0.3125,5
flying,bipedal_tailless,5,0.2777777777777778,5
normal,quadruped,5,0.29411764705882354,5
water,bipedal_tailless,4,0.23529411764705882,5
water,bipedal_tailed,4,0.23529411764705882,5
normal,bipedal_tailed,4,0.23529411764705882,5
psychic,quadruped,4,0.26666666666666666,5
fire,quadruped,4,0.25,5
flying,bipedal_tailed,4,0.2222222222222222,5
fire,bipedal_tailless,3,0.1875,5
bug,quadruped,3,0.16666666666666666,5
dark,bipedal_tailless,3,0.1875,5
bug,head_only,3,0.16666666666666666,5
grass,quadruped,3,0.15,5
grass,bipedal_tailless,3,0.15,5
fire,bipedal_tailed,3,0.1875,5
fighting,quadruped,3,0.2,5
steel,bipedal_tailed,3,0.25,5
psychic,two_wings,3,0.2,5
flying,quadruped,3,0.16666666666666666,5
water,head_legs,2,0.11764705882352941,5
dark,head_base,2,0.125,5
dark,with_fins,2,0.125,5
bug,serpentine_body,2,0.1111111111111111,5
fighting,head_only,2,0.13333333333333333,5
normal,bipedal_tailless,2,0.11764705882352941,5
steel,quadruped,2,0.16666666666666666,5
steel,bipedal_tailless,2,0.16666666666666666,5
fighting,bipedal_tailed,2,0.13333333333333333,5
fighting,bipedal_tailless,2,0.13333333333333333,5
bug,head_legs,2,0.1111111111111111,5
water,quadruped,2,0.11764705882352941,5
fighting,head_arms,2,0.13333333333333333,5
water,two_wings,2,0.11764705882352941,5
fire,head_base,2,0.125,5
fire,serpentine_body,2,0.125,5
psychic,with_fins,2,0.13333333333333333,5
normal,four_wings,2,0.11764705882352941,5
normal,serpentine_body,2,0.11764705882352941,5
psychic,four_wings,2,0.13333333333333333,5
psychic,bipedal_tailless,2,0.13333333333333333,5
bug,bipedal_tailless,2,0.1111111111111111,5
bug,bipedal_tailed,2,0.1111111111111111,5
psychic,insectoid,2,0.13333333333333333,5
fighting,serpentine_body,1,0.06666666666666667,5
grass,four_wings,1,0.05,5
fire,two_wings,1,0.0625,5
bug,two_wings,1,0.05555555555555555,5
bug,head_arms,1,0.05555555555555555,5
bug,insectoid,1,0.05555555555555555,5
bug,with_fins,1,0.05555555555555555,5
dark,bipedal_tailed,1,0.0625,5
flying,two_wings,1,0.05555555555555555,5
grass,two_wings,1,0.05,5
grass,insectoid,1,0.05,5
grass,head_only,1,0.05,5
flying,head_base,1,0.05555555555555555,5
dark,insectoid,1,0.0625,5
flying,serpentine_body,1,0.05555555555555555,5
flying,insectoid,1,0.05555555555555555,5
flying,head_only,1,0.05555555555555555,5
flying,head_legs,1,0.05555555555555555,5
dark,head_legs,1,0.0625,5
fighting,insectoid,1,0.06666666666666667,5
fire,four_wings,1,0.0625,5
dark,two_wings,1,0.0625,5
steel,serpentine_body,1,0.08333333333333333,5
normal,two_wings,1,0.058823529411764705,5
normal,multiple_bodies,1,0.058823529411764705,5
water,head_only,1,0.058823529411764705,5
water,four_wings,1,0.058823529411764705,5
steel,with_fins,1,0.08333333333333333,5
steel,head_arms,1,0.08333333333333333,5
steel,two_wings,1,0.08333333333333333,5
steel,insectoid,1,0.08333333333333333,5
fighting,head_base,1,0.06666666666666667,5
fighting,four_wings,1,0.06666666666666667,5
water,with_fins,1,0.058823529411764705,5
fairy,bipedal_tailless,5,0.38461538461538464,6
fire,bipedal_tailed,4,0.5,6
flying,bipedal_tailed,4,0.5,6
psychic,bipedal_tailed,3,0.5,6
normal,quadruped,3,0.375,6
grass,bipedal_tailless,3,0.3333333333333333,6
fire,quadruped,2,0.25,6
water,two_wings,2,0.2222222222222222,6
grass,quadruped,2,0.2222222222222222,6
dragon,head_legs,2,0.2222222222222222,6
dragon,head_only,2,0.2222222222222222,6
dragon,bipedal_tailed,2,0.2222222222222222,6
fairy,head_base,2,0.15384615384615385,6
normal,head_only,2,0.25,6
rock,quadruped,2,0.25,6
rock,bipedal_tailless,2,0.25,6
flying,with_fins,2,0.25,6
ghost,head_base,2,0.25,6
fairy,quadruped,1,0.07692307692307693,6
fairy,insectoid,1,0.07692307692307693,6
fairy,head_only,1,0.07692307692307693,6
fairy,head_legs,1,0.07692307692307693,6
fairy,bipedal_tailed,1,0.07692307692307693,6
dragon,serpentine_body,1,0.1111111111111111,6
dragon,quadruped,1,0.1111111111111111,6
dragon,bipedal_tailless,1,0.1111111111111111,6
grass,insectoid,1,0.1111111111111111,6
ghost,four_wings,1,0.125,6
fire,bipedal_tailless,1,0.125,6
fire,serpentine_body,1,0.125,6
flying,quadruped,1,0.125,6
flying,serpentine_body,1,0.125,6
ghost,bipedal_tailed,1,0.125,6
ghost,bipedal_tailless,1,0.125,6
ghost,head_legs,1,0.125,6
ghost,two_wings,1,0.125,6
grass,bipedal_tailed,1,0.1111111111111111,6
grass,head_base,1,0.1111111111111111,6
rock,several_limbs,1,0.125,6
fairy,two_wings,1,0.07692307692307693,6
grass,with_fins,1,0.1111111111111111,6
normal,bipedal_tailed,1,0.125,6
normal,serpentine_body,1,0.125,6
normal,two_wings,1,0.125,6
psychic,head_arms,1,0.16666666666666666,6
water,serpentine_body,1,0.1111111111111111,6
water,quadruped,1,0.1111111111111111,6
water,multiple_bodies,1,0.1111111111111111,6
water,head_legs,1,0.1111111111111111,6
water,four_wings,1,0.1111111111111111,6
water,bipedal_tailed,1,0.1111111111111111,6
psychic,bipedal_tailless,1,0.16666666666666666,6
rock,serpentine_body,1,0.125,6
rock,insectoid,1,0.125,6
rock,head_arms,1,0.125,6
psychic,four_wings,1,0.16666666666666666,6
ghost,with_fins,1,0.125,6
water,with_fins,1,0.1111111111111111,6
