pokedex_number;name;type1;type2;hp;defense;attack;sp_defense;sp_attack;speed;base_total;capture_rate;base_happiness;experience_growth;Height_m;Weight_kg;hasGender;percentage_male;is_legendary;generation;classfication;Color;Body_Style;hasMegaEvolution;Egg_Group_1;Egg_Group_2;base_egg_steps;against_bug;against_dark;against_dragon;against_electric;against_fairy;against_fight;against_fire;against_flying;against_ghost;against_grass;against_ground;against_ice;against_normal;against_poison;against_psychic;against_rock;against_steel;against_water;abilities;ability 1;ability 2;ability 3;ability 4;ability 5;ability 6
15;Beedrill;bug;poison;65;40;150;80;15;145;495;45;70;1000000;0.99;29.5;TRUE;50;0;1;Poison Bee;Yellow;four_wings;TRUE;Bug;;3840;0.5;1;1;1;0.5;0.25;2;2;1;0.25;1;1;1;0.5;2;2;1;1;['Swarm', 'Sniper'];Swarm;Sniper;;;;
16;Pidgey;normal;flying;40;40;45;35;35;56;251;255;70;1059860;0.3;1.8;TRUE;50;0;1;Tiny Bird;Brown;two_wings;FALSE;Flying;;3840;0.5;1;1;2;1;1;1;1;0;0.5;0;2;1;1;1;2;1;1;['Keen Eye', 'Tangled Feet', 'Big Pecks'];Keen Eye;Tangled Feet;Big Pecks;;;
17;Pidgeotto;normal;flying;63;55;60;50;50;71;349;120;70;1059860;1.09;30;TRUE;50;0;1;Bird;Brown;two_wings;FALSE;Flying;;3840;0.5;1;1;2;1;1;1;1;0;0.5;0;2;1;1;1;2;1;1;['Keen Eye', 'Tangled Feet', 'Big Pecks'];Keen Eye;Tangled Feet;Big Pecks;;;
18;Pidgeot;normal;flying;83;80;80;80;135;121;579;45;70;1059860;1.5;39.5;TRUE;50;0;1;Bird;Brown;two_wings;TRUE;Flying;;3840;0.5;1;1;2;1;1;1;1;0;0.5;0;2;1;1;1;2;1;1;['Keen Eye', 'Tangled Feet', 'Big Pecks'];Keen Eye;Tangled Feet;Big Pecks;;;
19;Rattata;normal;dark;30;35;56;35;25;72;253;255;70;1000000;0.3;3.5;TRUE;50;0;1;Mouse;Purple;quadruped;FALSE;Field;;3840;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat'];Run Away;Guts;Hustle;Gluttony;Hustle;Thick Fat
20;Raticate;normal;dark;75;70;71;80;40;77;413;127;70;1000000;0.71;18.5;TRUE;50;0;1;Mouse;Brown;quadruped;FALSE;Field;;3840;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat'];Run Away;Guts;Hustle;Gluttony;Hustle;Thick Fat
21;Spearow;normal;flying;40;30;60;31;31;70;262;255;70;1000000;0.3;2;TRUE;50;0;1;Tiny Bird;Brown;two_wings;FALSE;Flying;;3840;0.5;1;1;2;1;1;1;1;0;0.5;0;2;1;1;1;2;1;1;['Keen Eye', 'Sniper'];Keen Eye;Sniper;;;;
22;Fearow;normal;flying;65;65;90;61;61;100;442;90;70;1000000;1.19;38;TRUE;50;0;1;Beak;Brown;two_wings;FALSE;Flying;;3840;0.5;1;1;2;1;1;1;1;0;0.5;0;2;1;1;1;2;1;1;['Keen Eye', 'Sniper'];Keen Eye;Sniper;;;;
23;Ekans;poison;;35;44;60;54;40;55;288;255;70;1000000;2.01;6.9;TRUE;50;0;1;Snake;Purple;serpentine_body;FALSE;Field;Dragon;5120;0.5;1;1;1;0.5;0.5;1;1;1;0.5;2;1;1;0.5;2;1;1;1;['Intimidate', 'Shed Skin', 'Unnerve'];Intimidate;Shed Skin;Unnerve;;;
24;Arbok;poison;;60;69;95;79;65;80;448;90;70;1000000;3.51;65;TRUE;50;0;1;Cobra;Purple;serpentine_body;FALSE;Field;Dragon;5120;0.5;1;1;1;0.5;0.5;1;1;1;0.5;2;1;1;0.5;2;1;1;1;['Intimidate', 'Shed Skin', 'Unnerve'];Intimidate;Shed Skin;Unnerve;;;
25;Pikachu;electric;;35;40;55;50;50;90;320;190;70;1000000;0.41;6;TRUE;50;0;1;Mouse;Yellow;quadruped;FALSE;Field;Fairy;2560;1;1;1;0.5;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;['Static', 'Lightningrod'];Static;Lightningrod;;;;
26;Raichu;electric;electric;60;50;85;85;95;110;485;75;70;1000000;0.79;30;TRUE;50;0;1;Mouse;Yellow;bipedal_tailed;FALSE;Field;Fairy;2560;1;1;1;0.5;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;['Static', 'Lightningrod', 'Surge Surfer'];Static;Lightningrod;Surge Surfer;;;
27;Sandshrew;ground;ice;50;90;75;35;10;40;300;255;70;1000000;0.61;12;TRUE;50;0;1;Mouse;Yellow;bipedal_tailed;FALSE;Field;;5120;1;1;1;0;1;1;1;1;1;2;1;2;1;0.5;1;0.5;1;2;['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush'];Sand Veil;Sand Rush;Snow Cloak;Slush Rush;;
28;Sandslash;ground;ice;75;120;100;65;25;65;450;90;70;1000000;0.99;29.5;TRUE;50;0;1;Mouse;Yellow;bipedal_tailed;FALSE;Field;;5120;1;1;1;0;1;1;1;1;1;2;1;2;1;0.5;1;0.5;1;2;['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush'];Sand Veil;Sand Rush;Snow Cloak;Slush Rush;;
29;Nidoranâ™€;poison;;55;52;47;40;40;41;275;235;70;1059860;0.41;7;TRUE;0;0;1;Poison Pin;Blue;quadruped;FALSE;Monster;Field;5120;0.5;1;1;1;0.5;0.5;1;1;1;0.5;2;1;1;0.5;2;1;1;1;['Poison Point', 'Rivalry', 'Hustle'];Poison Point;Rivalry;Hustle;;;
30;Nidorina;poison;;70;67;62;55;55;56;365;120;70;1059860;0.79;20;TRUE;0;0;1;Poison Pin;Blue;quadruped;FALSE;Undiscovered;;5120;0.5;1;1;1;0.5;0.5;1;1;1;0.5;2;1;1;0.5;2;1;1;1;['Poison Point', 'Rivalry', 'Hustle'];Poison Point;Rivalry;Hustle;;;
31;Nidoqueen;poison;ground;90;87;92;85;75;76;505;45;70;1059860;1.3;60;TRUE;0;0;1;Drill;Blue;bipedal_tailed;FALSE;Undiscovered;;5120;0.5;1;1;0;0.5;0.5;1;1;1;1;2;2;1;0.25;2;0.5;1;2;['Poison Point', 'Rivalry', 'Sheer Force'];Poison Point;Rivalry;Sheer Force;;;
32;Nidoranâ™‚;poison;;46;40;57;40;40;50;273;235;70;1059860;0.51;9;TRUE;100;0;1;Poison Pin;Purple;quadruped;FALSE;Monster;Field;5120;0.5;1;1;1;0.5;0.5;1;1;1;0.5;2;1;1;0.5;2;1;1;1;['Poison Point', 'Rivalry', 'Hustle'];Poison Point;Rivalry;Hustle;;;
33;Nidorino;poison;;61;57;72;55;55;65;365;120;70;1059860;0.89;19.5;TRUE;100;0;1;Poison Pin;Purple;quadruped;FALSE;Monster;Field;5120;0.5;1;1;1;0.5;0.5;1;1;1;0.5;2;1;1;0.5;2;1;1;1;['Poison Point', 'Rivalry', 'Hustle'];Poison Point;Rivalry;Hustle;;;
34;Nidoking;poison;ground;81;77;102;75;85;85;505;45;70;1059860;1.4;62;TRUE;100;0;1;Drill;Purple;bipedal_tailed;FALSE;Monster;Field;5120;0.5;1;1;0;0.5;0.5;1;1;1;1;2;2;1;0.25;2;0.5;1;2;['Poison Point', 'Rivalry', 'Sheer Force'];Poison Point;Rivalry;Sheer Force;;;
35;Clefairy;fairy;;70;48;45;65;60;35;323;150;140;800000;0.61;7.5;TRUE;24.6;0;1;Fairy;Pink;bipedal_tailed;FALSE;Fairy;;2560;0.5;0.5;0;1;1;0.5;1;1;1;1;1;1;1;2;1;1;2;1;['Cute Charm', 'Magic Guard', 'Friend Guard'];Cute Charm;Magic Guard;Friend Guard;;;
36;Clefable;fairy;;95;73;70;90;95;60;483;25;140;800000;1.3;40;TRUE;24.6;0;1;Fairy;Pink;bipedal_tailed;FALSE;Fairy;;2560;0.5;0.5;0;1;1;0.5;1;1;1;1;1;1;1;2;1;1;2;1;['Cute Charm', 'Magic Guard', 'Unaware'];Cute Charm;Magic Guard;Unaware;;;
37;Vulpix;fire;ice;38;40;41;65;50;65;299;190;70;1000000;0.61;9.9;TRUE;24.6;0;1;Fox;Brown;quadruped;FALSE;Field;;5120;0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2;['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning'];Flash Fire;Drought;Snow Cloak;Snow Warning;;
38;Ninetales;fire;ice;73;75;67;100;81;109;505;75;70;1000000;1.09;19.9;TRUE;24.6;0;1;Fox;Yellow;quadruped;FALSE;Field;;5120;0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2;['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning'];Flash Fire;Drought;Snow Cloak;Snow Warning;;
39;Jigglypuff;normal;fairy;115;20;45;25;45;20;270;170;70;800000;0.51;5.5;TRUE;24.6;0;1;Balloon;Pink;bipedal_tailless;FALSE;Fairy;;2560;0.5;0.5;0;1;1;1;1;1;0;1;1;1;1;2;1;1;2;1;['Cute Charm', 'Competitive', 'Friend Guard'];Cute Charm;Competitive;Friend Guard;;;
40;Wigglytuff;normal;fairy;140;45;70;50;85;45;435;50;70;800000;0.99;12;TRUE;24.6;0;1;Balloon;Pink;bipedal_tailless;FALSE;Fairy;;2560;0.5;0.5;0;1;1;1;1;1;0;1;1;1;1;2;1;1;2;1;['Cute Charm', 'Competitive', 'Frisk'];Cute Charm;Competitive;Frisk;;;
41;Zubat;poison;flying;40;35;45;40;30;55;245;255;70;1000000;0.79;7.5;TRUE;50;0;1;Bat;Purple;two_wings;FALSE;Flying;;3840;0.25;1;1;2;0.5;0.25;1;1;1;0.25;0;2;1;0.5;2;2;1;1;['Inner Focus', 'Infiltrator'];Inner Focus;Infiltrator;;;;
42;Golbat;poison;flying;75;70;80;75;65;90;455;90;70;1000000;1.6;55;TRUE;50;0;1;Bat;Purple;two_wings;FALSE;Flying;;3840;0.25;1;1;2;0.5;0.25;1;1;1;0.25;0;2;1;0.5;2;2;1;1;['Inner Focus', 'Infiltrator'];Inner Focus;Infiltrator;;;;
43;Oddish;grass;poison;45;55;50;65;75;30;320;255;70;1059860;0.51;5.4;TRUE;50;0;1;Weed;Blue;head_legs;FALSE;Grass;;5120;1;1;1;0.5;0.5;0.5;2;2;1;0.25;1;2;1;1;2;1;1;0.5;['Chlorophyll', 'Run Away'];Chlorophyll;Run Away;;;;
44;Gloom;grass;poison;60;70;65;75;85;40;395;120;70;1059860;0.79;8.6;TRUE;50;0;1;Weed;Blue;bipedal_tailless;FALSE;Grass;;5120;1;1;1;0.5;0.5;0.5;2;2;1;0.25;1;2;1;1;2;1;1;0.5;['Chlorophyll', 'Stench'];Chlorophyll;Stench;;;;
45;Vileplume;grass;poison;75;85;80;90;110;50;490;45;70;1059860;1.19;18.6;TRUE;50;0;1;Flower;Red;bipedal_tailless;FALSE;Grass;;5120;1;1;1;0.5;0.5;0.5;2;2;1;0.25;1;2;1;1;2;1;1;0.5;['Chlorophyll', 'Effect Spore'];Chlorophyll;Effect Spore;;;;
46;Paras;bug;grass;35;55;70;55;45;25;285;190;70;1000000;0.3;5.4;TRUE;50;0;1;Mushroom;Red;insectoid;FALSE;Bug;Grass;5120;2;1;1;0.5;1;0.5;4;4;1;0.25;0.25;2;1;2;1;2;1;0.5;['Effect Spore', 'Dry Skin', 'Damp'];Effect Spore;Dry Skin;Damp;;;
47;Parasect;bug;grass;60;80;95;80;60;30;405;75;70;1000000;0.99;29.5;TRUE;50;0;1;Mushroom;Red;insectoid;FALSE;Bug;Grass;5120;2;1;1;0.5;1;0.5;4;4;1;0.25;0.25;2;1;2;1;2;1;0.5;['Effect Spore', 'Dry Skin', 'Damp'];Effect Spore;Dry Skin;Damp;;;
48;Venonat;bug;poison;60;50;55;55;40;45;305;190;70;1000000;0.99;30;TRUE;50;0;1;Insect;Purple;bipedal_tailless;FALSE;Bug;;5120;0.5;1;1;1;0.5;0.25;2;2;1;0.25;1;1;1;0.5;2;2;1;1;['Compoundeyes', 'Tinted Lens', 'Run Away'];Compoundeyes;Tinted Lens;Run Away;;;
49;Venomoth;bug;poison;70;60;65;75;90;90;450;75;70;1000000;1.5;12.5;TRUE;50;0;1;Poison Moth;Purple;four_wings;FALSE;Bug;;5120;0.5;1;1;1;0.5;0.25;2;2;1;0.25;1;1;1;0.5;2;2;1;1;['Shield Dust', 'Tinted Lens', 'Wonder Skin '];Shield Dust;Tinted Lens;Wonder Skin ;;;
50;Diglett;ground;ground;10;30;55;45;35;90;265;255;70;1000000;0.2;0.8;TRUE;50;0;1;Mole;Brown;head_base;FALSE;Field;;5120;1;1;1;0;1;1;1;1;1;2;1;2;1;0.5;1;0.5;1;2;['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force'];Sand Veil;Arena Trap;Sand Force;Sand Veil;Tangling Hair;Sand Force
51;Dugtrio;ground;ground;35;60;100;70;50;110;425;50;70;1000000;0.71;33.3;TRUE;50;0;1;Mole;Brown;multiple_bodies;FALSE;Field;;5120;1;1;1;0;1;1;1;1;1;2;1;2;1;0.5;1;0.5;1;2;['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force'];Sand Veil;Arena Trap;Sand Force;Sand Veil;Tangling Hair;Sand Force
52;Meowth;normal;dark;40;35;35;40;50;90;290;255;70;1000000;0.41;4.2;TRUE;50;0;1;Scratch Cat;Yellow;quadruped;FALSE;Field;;5120;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled'];Pickup;Technician;Unnerve;Pickup;Technician;Rattled
53;Persian;normal;dark;65;60;60;65;75;115;440;90;70;1000000;0.99;32;TRUE;50;0;1;Classy Cat;Yellow;quadruped;FALSE;Field;;5120;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled'];Limber;Technician;Unnerve;Fur Coat;Technician;Rattled
54;Psyduck;water;;50;48;52;50;65;55;320;190;70;1000000;0.79;19.6;TRUE;50;0;1;Duck;Yellow;bipedal_tailed;FALSE;Water_1;Field;5120;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;['Damp', 'Cloud Nine', 'Swift Swim'];Damp;Cloud Nine;Swift Swim;;;
55;Golduck;water;;80;78;82;80;95;85;500;75;70;1000000;1.7;76.6;TRUE;50;0;1;Duck;Blue;bipedal_tailed;FALSE;Water_1;Field;5120;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;['Damp', 'Cloud Nine', 'Swift Swim'];Damp;Cloud Nine;Swift Swim;;;
56;Mankey;fighting;;40;35;80;45;35;70;305;190;70;1000000;0.51;28;TRUE;50;0;1;Pig Monkey;Brown;bipedal_tailed;FALSE;Field;;5120;0.5;0.5;1;1;2;1;1;2;1;1;1;1;1;1;2;0.5;1;1;['Vital Spirit', 'Anger Point', 'Defiant'];Vital Spirit;Anger Point;Defiant;;;
57;Primeape;fighting;;65;60;105;70;60;95;455;75;70;1000000;0.99;32;TRUE;50;0;1;Pig Monkey;Brown;bipedal_tailed;FALSE;Field;;5120;0.5;0.5;1;1;2;1;1;2;1;1;1;1;1;1;2;0.5;1;1;['Vital Spirit', 'Anger Point', 'Defiant'];Vital Spirit;Anger Point;Defiant;;;
58;Growlithe;fire;;55;45;70;50;70;60;350;190;70;1250000;0.71;19;TRUE;75.4;0;1;Puppy;Brown;quadruped;FALSE;Field;;5120;0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2;['Intimidate', 'Flash Fire', 'Justified'];Intimidate;Flash Fire;Justified;;;
59;Arcanine;fire;;90;80;110;80;100;95;555;75;70;1250000;1.91;155;TRUE;75.4;0;1;Legendary;Brown;quadruped;FALSE;Field;;5120;0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2;['Intimidate', 'Flash Fire', 'Justified'];Intimidate;Flash Fire;Justified;;;
60;Poliwag;water;;40;40;50;40;40;90;300;255;70;1059860;0.61;12.4;TRUE;50;0;1;Tadpole;Blue;head_legs;FALSE;Water_1;;5120;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;['Water Absorb', 'Damp', 'Swift Swim'];Water Absorb;Damp;Swift Swim;;;
61;Poliwhirl;water;;65;65;65;50;50;90;385;120;70;1059860;0.99;20;TRUE;50;0;1;Tadpole;Blue;bipedal_tailless;FALSE;Water_1;;5120;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;['Water Absorb', 'Damp', 'Swift Swim'];Water Absorb;Damp;Swift Swim;;;
62;Poliwrath;water;fighting;90;95;95;90;70;70;510;45;70;1059860;1.3;54;TRUE;50;0;1;Tadpole;Blue;bipedal_tailless;FALSE;Water_1;;5120;0.5;0.5;1;2;2;1;0.5;2;1;2;1;0.5;1;1;2;0.5;0.5;0.5;['Water Absorb', 'Damp', 'Swift Swim'];Water Absorb;Damp;Swift Swim;;;
63;Abra;psychic;;25;15;20;55;105;90;310;200;70;1059860;0.89;19.5;TRUE;75.4;0;1;Psi;Brown;bipedal_tailed;FALSE;Human-Like;;5120;2;2;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;1;1;['Synchronize', 'Inner Focus', 'Magic Guard'];Synchronize;Inner Focus;Magic Guard;;;
64;Kadabra;psychic;;40;30;35;70;120;105;400;100;70;1059860;1.3;56.5;TRUE;75.4;0;1;Psi;Brown;bipedal_tailed;FALSE;Human-Like;;5120;2;2;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;1;1;['Synchronize', 'Inner Focus', 'Magic Guard'];Synchronize;Inner Focus;Magic Guard;;;
65;Alakazam;psychic;;55;65;50;105;175;150;600;50;70;1059860;1.5;48;TRUE;75.4;0;1;Psi;Brown;bipedal_tailless;TRUE;Human-Like;;5120;2;2;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;1;1;['Synchronize', 'Inner Focus', 'Magic Guard'];Synchronize;Inner Focus;Magic Guard;;;
66;Machop;fighting;;70;50;80;35;35;35;305;180;70;1059860;0.79;19.5;TRUE;75.4;0;1;Superpower;Grey;bipedal_tailed;FALSE;Human-Like;;5120;0.5;0.5;1;1;2;1;1;2;1;1;1;1;1;1;2;0.5;1;1;['Guts', 'No Guard', 'Steadfast'];Guts;No Guard;Steadfast;;;
67;Machoke;fighting;;80;70;100;60;50;45;405;90;70;1059860;1.5;70.5;TRUE;75.4;0;1;Superpower;Grey;bipedal_tailless;FALSE;Human-Like;;5120;0.5;0.5;1;1;2;1;1;2;1;1;1;1;1;1;2;0.5;1;1;['Guts', 'No Guard', 'Steadfast'];Guts;No Guard;Steadfast;;;
68;Machamp;fighting;;90;80;130;85;65;55;505;45;70;1059860;1.6;130;TRUE;75.4;0;1;Superpower;Grey;bipedal_tailless;FALSE;Human-Like;;5120;0.5;0.5;1;1;2;1;1;2;1;1;1;1;1;1;2;0.5;1;1;['Guts', 'No Guard', 'Steadfast'];Guts;No Guard;Steadfast;;;
69;Bellsprout;grass;poison;50;35;75;30;70;40;300;255;70;1059860;0.71;4;TRUE;50;0;1;Flower;Green;bipedal_tailless;FALSE;Grass;;5120;1;1;1;0.5;0.5;0.5;2;2;1;0.25;1;2;1;1;2;1;1;0.5;['Chlorophyll', 'Gluttony'];Chlorophyll;Gluttony;;;;
70;Weepinbell;grass;poison;65;50;90;45;85;55;390;120;70;1059860;0.99;6.4;TRUE;50;0;1;Flycatcher;Green;head_base;FALSE;Grass;;5120;1;1;1;0.5;0.5;0.5;2;2;1;0.25;1;2;1;1;2;1;1;0.5;['Chlorophyll', 'Gluttony'];Chlorophyll;Gluttony;;;;
71;Victreebel;grass;poison;80;65;105;70;100;70;490;45;70;1059860;1.7;15.5;TRUE;50;0;1;Flycatcher;Green;head_base;FALSE;Grass;;5120;1;1;1;0.5;0.5;0.5;2;2;1;0.25;1;2;1;1;2;1;1;0.5;['Chlorophyll', 'Gluttony'];Chlorophyll;Gluttony;;;;
72;Tentacool;water;poison;40;35;40;100;50;70;335;190;70;1250000;0.89;45.5;TRUE;50;0;1;Jellyfish;Blue;several_limbs;FALSE;Water_3;;5120;0.5;1;1;2;0.5;0.5;0.5;1;1;1;2;0.5;1;0.5;2;1;0.5;0.5;['Clear Body', 'Liquid Ooze', 'Rain Dish'];Clear Body;Liquid Ooze;Rain Dish;;;
73;Tentacruel;water;poison;80;65;70;120;80;100;515;60;70;1250000;1.6;55;TRUE;50;0;1;Jellyfish;Blue;several_limbs;FALSE;Water_3;;5120;0.5;1;1;2;0.5;0.5;0.5;1;1;1;2;0.5;1;0.5;2;1;0.5;0.5;['Clear Body', 'Liquid Ooze', 'Rain Dish'];Clear Body;Liquid Ooze;Rain Dish;;;
74;Geodude;rock;ground;40;100;80;30;30;20;300;255;70;1059860;0.41;20;TRUE;50;0;1;Rock;Brown;head_arms;FALSE;Mineral;;3840;1;1;1;0;1;2;0.5;0.5;1;4;2;2;0.5;0.25;1;0.5;2;4;['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize'];Rock Head;Sturdy;Sand Veil;Magnet Pull;Sturdy;Galvanize
75;Graveler;rock;ground;55;115;95;45;45;35;390;120;70;1059860;0.99;105;TRUE;50;0;1;Rock;Brown;bipedal_tailless;FALSE;Mineral;;3840;1;1;1;0;1;2;0.5;0.5;1;4;2;2;0.5;0.25;1;0.5;2;4;['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize'];Rock Head;Sturdy;Sand Veil;Magnet Pull;Sturdy;Galvanize
76;Golem;rock;ground;80;130;120;65;55;45;495;45;70;1059860;1.4;300;TRUE;50;0;1;Megaton;Brown;bipedal_tailless;FALSE;Mineral;;3840;1;1;1;0;1;2;0.5;0.5;1;4;2;2;0.5;0.25;1;0.5;2;4;['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize'];Rock Head;Sturdy;Sand Veil;Magnet Pull;Sturdy;Galvanize
